filepath,dataset_id,patient_id,split
/Users/Hemato/project_3/data/processed/p5/labeled_h5ad/GSE1_cosmx_wt_221.h5ad,GSE1,cosmx_wt_221,discovery
/Users/Hemato/project_3/data/processed/p5/labeled_h5ad/GSE1_cosmx_wt_110.h5ad,GSE1,cosmx_wt_110,discovery
/Users/Hemato/project_3/data/processed/p5/labeled_h5ad/GSE1_cosmx_wt_120.h5ad,GSE1,cosmx_wt_120,discovery
/Users/Hemato/project_3/data/processed/p5/labeled_h5ad/GSE1_cosmx_wt_210.h5ad,GSE1,cosmx_wt_210,discovery
/Users/Hemato/project_3/data/processed/p5/labeled_h5ad/GSE1_cosmx_wt_222.h5ad,GSE1,cosmx_wt_222,validation
/Users/Hemato/project_3/data/processed/p5/labeled_h5ad/GSE1_cosmx_wt_231.h5ad,GSE1,cosmx_wt_231,validation
/Users/Hemato/project_3/data/processed/p5/labeled_h5ad/GSE1_cosmx_wt_232.h5ad,GSE1,cosmx_wt_232,validation
/Users/Hemato/project_3/data/processed/p5/labeled_h5ad/GSE1_cosmx_wt_242.h5ad,GSE1,cosmx_wt_242,validation
/Users/Hemato/project_3/data/processed/p5/labeled_h5ad/GSE0_S0.h5ad,GSE0,S0,validation
/Users/Hemato/project_3/data/processed/p5/labeled_h5ad/GSE280314_Xenium_P1.h5ad,GSE280314,Xenium_P1,validation
/Users/Hemato/project_3/data/processed/p5/labeled_h5ad/GSE280314_Xenium_P2.h5ad,GSE280314,Xenium_P2,validation
/Users/Hemato/project_3/data/processed/p5/labeled_h5ad/GSE280314_Xenium_P5.h5ad,GSE280314,Xenium_P5,validation
/Users/Hemato/project_3/data/processed/p5/labeled_h5ad/GSE303070_CosMx_Slide_3461G.h5ad,GSE303070,CosMx_Slide_3461G,validation
/Users/Hemato/project_3/data/processed/p5/labeled_h5ad/GSE303070_CosMx_Slide_10501A.h5ad,GSE303070,CosMx_Slide_10501A,validation
/Users/Hemato/project_3/data/processed/p5/labeled_h5ad/GSE303070_CosMx_Slide_120131.h5ad,GSE303070,CosMx_Slide_120131,validation
/Users/Hemato/project_3/data/processed/p5/labeled_h5ad/GSE303070_CosMx_Slide_148191A.h5ad,GSE303070,CosMx_Slide_148191A,validation
/Users/Hemato/project_3/data/processed/p5/labeled_h5ad/GSE303070_CosMx_Slide_Tumor_A.h5ad,GSE303070,CosMx_Slide_Tumor_A,validation
/Users/Hemato/project_3/data/processed/p5/labeled_h5ad/GSE303070_CosMx_Slide_Tumor_B.h5ad,GSE303070,CosMx_Slide_Tumor_B,validation
/Users/Hemato/project_3/data/processed/p5/labeled_h5ad/GSE308699_pt1_pre.h5ad,GSE308699,pt1_pre,validation
/Users/Hemato/project_3/data/processed/p5/labeled_h5ad/GSE308699_pt2_pre.h5ad,GSE308699,pt2_pre,validation
/Users/Hemato/project_3/data/processed/p5/labeled_h5ad/GSE308699_pt3_pre.h5ad,GSE308699,pt3_pre,validation
/Users/Hemato/project_3/data/processed/p5/labeled_h5ad/spatch_xenium_5k_spatch_xenium_5k.h5ad,spatch,xenium_5k_spatch_xenium_5k,validation
