Cell_type,Genes
cB1 (B IGD+IgM+),"['CD74', 'RPL18A', 'IGHM', 'RPS27', 'HLA-DRA', 'RPS23', 'CD37', 'RPS27A', 'RPL13', 'BTG1', 'CD79A', 'RPL32', 'HLA-DPB1', 'RPS8', 'RPS3A', 'CD52', 'RPL21', 'RPL34', 'CXCR4', 'RPL11', 'RPL10', 'FAU', 'RPL9', 'RPS5', 'RPL19', 'RPL23A', 'TCL1A', 'HLA-DPA1', 'RPS25', 'RPL15', 'RPLP2', 'RPL30', 'RPS13', 'RPL26', 'RPL13A', 'RPL10A', 'RPSA', 'HLA-DRB1', 'RPS12', 'HLA-DQB1', 'RPS15A', 'MS4A1', 'EEF1A1', 'RPL12', 'RPS6', 'RPL3', 'RPL28', 'RPL18', 'RPS19', 'CD79B', 'RPS11', 'RPL39', 'RPL5', 'RPS9', 'VPREB3', 'HLA-DQA1', 'RPL29', 'RPL35A', 'RPL37', 'LAPTM5', 'RPL41', 'RPS16', 'RPL27', 'RPL22', 'RPS29', 'EEF1D', 'RPS20', 'RPS2', 'EEF1B2', 'RPS18', 'RPL27A', 'IGHD', 'UBA52', 'RPL35', 'RPS15', 'PFDN5', 'RACK1', 'RPL6', 'RPS7', 'LTB', 'TXNIP', 'RPL8', 'RPS10', 'RPS4X', 'CD69', 'GLTSCR2', 'RPS3', 'RPL4', 'RPL7', 'RPS14', 'RPS28', 'RPLP1', 'RPL23', 'RPL31', 'RPL7A', 'RPL38', 'RPL24', 'RPL14', 'IGKC', 'MALAT1', 'TMSB10', 'FCER2', 'YBX3', 'FOS', 'KLF2', 'SELL', 'DUSP1', 'SARAF', 'RNASE6', 'RP11-358M11.2', 'JUNB', 'PLAC8', 'C1orf162', 'FTL', 'CD72', 'RPLP0', 'MT-ND2', 'RPS17', 'PLPP5', 'FCMR', 'HVCN1', 'PHACTR1', 'CD200', 'PIK3IP1', 'RP11-693J15.5', 'TSPAN13', 'BTLA']"
cB2 (B GC-like),"['CD74', 'RPS27', 'CXCR4', 'HLA-DRA', 'RPS8', 'RPS23', 'RPL11', 'CD37', 'RPS25', 'RPLP2', 'CD79A', 'RPS27A', 'RPL23A', 'RPL32', 'RPL34', 'MS4A1', 'RPS15A', 'FAU', 'EEF1A1', 'RPL9', 'HLA-DPB1', 'RPL21', 'RPS3A', 'RPL19', 'RPL30', 'RPS14', 'CD52', 'RPL13A', 'RPL3', 'BTG1', 'RPL13', 'RPS12', 'VPREB3', 'RPL39', 'RPL10', 'RPS29', 'RPL27A', 'RPL26', 'HLA-DPA1', 'RPS28', 'RPL41', 'RPS13', 'HLA-DQB1', 'RPS6', 'RPS20', 'RPS18', 'LTB', 'RPL18A', 'RPL35A', 'RPSA', 'RPL10A', 'RPS3', 'RPS11', 'EEF1B2', 'RPLP1', 'RPL28', 'RPS16', 'RPL5', 'RPL14', 'MALAT1', 'RPL37', 'RPL15', 'RPS5', 'RPL27', 'RPS10', 'RPL38', 'RPL18', 'UBA52', 'RPS2', 'HLA-DQA1', 'BANK1', 'HLA-DRB1', 'RPS4X', 'RPL12', 'CD79B', 'RPL4', 'PFDN5', 'TOMM7', 'RPS7', 'RPS15', 'RPL22', 'RPL31', 'TNFRSF13C', 'TXNIP', 'RP5-887A10.1', 'IGKC', 'LAPTM5', 'TSC22D3', 'RPS21', 'GPR183', 'RPL29', 'RPS9', 'ARHGAP24', 'CD69', 'GLTSCR2', 'RPL7', 'RPL6', 'MARCH1', 'RPL35', 'RPL8', 'B2M', 'HLA-A', 'HLA-B', 'HLA-C', 'TNFRSF13B', 'RPL36', 'VIM', 'IGHA1', 'DUSP1', 'FTL', 'ZFP36L2', 'HLA-E', 'CD44', 'JUNB', 'S100A6', 'KLF6', 'NR4A2', 'MT-ND2', 'CLECL1', 'FOSB', 'SAT1', 'S100A4', 'CTD-3252C9.4', 'JUN', 'RPL36A', 'CD48', 'FTH1', 'NEAT1', 'RNASET2', 'TPT1', 'CCDC50', 'MARCKS', 'CAPG', 'ZBTB20', 'H3F3B', 'MT-ND4', 'KLF2', 'EMP3', 'SRGN', 'SP110', 'ATP6V0E1', 'ARL6IP5', 'PPP1R15A', 'RGS2', 'N4BP2L2', 'RGS1', 'EVI2B', 'UBC', 'PLP2', 'SOCS3', 'SAMSN1', 'PNISR', 'MT-ND1', 'IDS', 'CD27']"
cB3 (B CD40+ GC-like),"['MS4A1', 'HMGN1', 'TCL1A', 'HLA-DRA', 'CD79A', 'CD79B', 'CORO1A', 'ACTG1', 'RPL28', 'SERF2', 'BASP1', 'CD74', 'LIMD2', 'ATP5L', 'CD37', 'RGS13', 'H3F3A', 'LTB', 'VPREB3', 'OAZ1', 'RPL15', 'MARCKSL1', 'ARPC3', 'LAPTM5', 'HLA-DPB1', 'ACTB', 'ARPC2', 'RPS23', 'RPL19', 'ARHGDIB', 'HMGB1', 'ANP32B', 'SMIM14', 'HMGN2', 'NCF1', 'RPL21', 'LRMP', 'RPL23A', 'RPS7', 'CD52', 'HLA-DPA1', 'BCAS4', 'FAU', 'HLA-DQA1', 'UCP2', 'CD22', 'RPL22', 'RPS13', 'MEF2C', 'RPS8', 'POU2AF1', 'RPS3A', 'TCEA1', 'BTF3', 'NPM1', 'PFN1', 'RPL10A', 'IRF8', 'PARP1', 'HNRNPA1', 'RPL18A', 'RPS16', 'RPL5', 'RPS6', 'RACK1', 'ISG20', 'HLA-DMA', 'RPL4', 'RPL6', 'HLA-DRB1', 'RPS27', 'CD53', 'PTMA', 'HLA-DQB1', 'RPS4X', 'TMSB4X', 'LCP1', 'NEIL1', 'ACTR3', 'POU2F2', 'SUGCT', 'RPS20', 'RPL27A', 'HLA-DMB', 'UBA52', 'HMGA1', 'PABPC1', 'EEF1A1', 'IGKC', 'CCNI', 'RPS15A', 'RPS24', 'STAG3', 'TNFRSF13C', 'UBE2J1', 'RPLP1', 'CFL1', 'NAP1L1', 'RAC2', 'RPL14', 'GAPDH', 'SLC25A5', 'DBI', 'H2AFZ', 'MYL6', 'H2AFV', 'STMN1', 'HMGB2', 'METAP2', 'HMCES', 'ARPC5', 'RAN', 'PPIA', 'SRSF9', 'GCHFR', 'MRPL51', 'DYNLL1', 'GSTP1', 'ATP5G3', 'PRDX1', 'PCLAF', 'ATP5E', 'PTTG1', 'PRDX6', 'ATP5J', 'COX5A', 'SNRPD1', 'POMP', 'C12orf75', 'SRSF3', 'NDUFA4', 'COX6C', 'CHCHD2', 'ATP5J2', 'GNG5', 'LPP', 'RFTN1', 'PKM', 'CALM3', 'SEM1', 'TUBB', 'BCL7A', 'COX6A1', 'SUMO2', 'ATPIF1', 'SNRPG', 'YBX1', 'CD81', 'MPC2', 'RBX1', 'ERH', 'EZR', 'COX8A', 'LMO2', 'HN1', 'UQCR10', 'SEC61B', 'PPP1CA', 'SLC25A3', 'DEK', 'SF3B6', 'YWHAB', 'LDHB', 'TKT', 'SRP14', 'CLTA']"
cM01 (Monocyte),"['TYROBP', 'FCER1G', 'S100A9', 'SRGN', 'FTH1', 'SAT1', 'LYZ', 'FTL', 'S100A8', 'AIF1', 'LGALS1', 'HLA-DRA', 'NAMPT', 'LST1', 'TIMP1', 'TYMP', 'S100A4', 'S100A11', 'ACTB', 'IL1B', 'DUSP1', 'CTSS', 'SOD2', 'PSAP', 'VCAN', 'VIM', 'CEBPB', 'BCL2A1', 'GLUL', 'PLAUR', 'OAZ1', 'SERPINA1', 'FCN1', 'H3F3B', 'HLA-DRB1', 'CD44', 'MCL1', 'CD14', 'NPC2', 'SLC2A3', 'NEAT1', 'CYBA', 'SH3BGRL3', 'FOS', 'NFKBIA', 'CSTA', 'COTL1', 'EMP3', 'LCP1', 'CD74', 'SLC11A1', 'CTSB', 'SOCS3', 'CST3', 'FCGR2A', 'LAPTM5', 'ANXA5', 'SPI1', 'C1orf162', 'CYBB', 'H3F3A', 'FPR1', 'LINC01272', 'HLA-DPB1', 'HLA-DPA1', 'RGS2', 'CLEC7A', 'PNRC1', 'MNDA', 'SDCBP', 'MS4A7', 'ZEB2', 'FGL2', 'MS4A6A', 'SAMSN1', 'LITAF', 'RAB31', 'ZFP36', 'TNFAIP3', 'CD300E', 'CD68', 'AP1S2', 'S100A12', 'CXCL8', 'SERPINB9', 'ITGB2', 'ARPC5', 'PFDN5', 'NCF2', 'C5AR1', 'ANXA1', 'HBEGF', 'RP11-1143G9.4', 'HIF1A', 'RHOA', 'TREM1', 'CD53', 'IER3', 'EIF1', 'HCST', 'S100A6', 'BTG1', 'EREG', 'RPL39', 'RPL34', 'CD52', 'RPS24', 'VEGFA', 'S100A10', 'THBS1', 'SLC25A37', 'RPS27', 'RPL32', 'CD55', 'JUNB', 'ATP1B3', 'RPL21', 'MALAT1', 'STXBP2', 'FPR2', 'EEF1D', 'CLEC4E', 'IL1RN', 'PTGS2', 'FAU', 'C19orf59', 'UBA52', 'RPL35A', 'ETS2', 'RPL18A', 'UPP1', 'C15orf48', 'RPS13', 'VMP1', 'RPL26', 'RPL7', 'NLRP3', 'IVNS1ABP', 'APOBEC3A', 'RPL8', 'RPL13', 'RPL28', 'RPS9', 'RP11-591N1.1', 'EGR1', 'CCL20', 'RPS16', 'NFKBIZ', 'FOSL2', 'CFP', 'OLR1', 'MXD1']"
cM02 (Macrophage-like),"['FTL', 'FCER1G', 'TYROBP', 'C1QA', 'HLA-DRA', 'AIF1', 'NPC2', 'C1QB', 'CTSB', 'C1QC', 'PSAP', 'CTSD', 'HLA-DPB1', 'HLA-DPA1', 'CD74', 'HLA-DRB1', 'CD68', 'LYZ', 'SAT1', 'LGALS1', 'HLA-DQA1', 'MS4A6A', 'CD14', 'CTSS', 'MS4A7', 'CTSZ', 'GRN', 'GLUL', 'HLA-DQB1', 'TYMP', 'CTSL', 'APOE', 'FCGR2A', 'FTH1', 'LST1', 'LAPTM5', 'S100A11', 'HLA-DMA', 'GPNMB', 'ASAH1', 'CAPG', 'CYBB', 'APOC1', 'MS4A4A', 'SPI1', 'CTSC', 'ITM2B', 'HLA-DMB', 'ITGB2', 'CST3', 'LIPA', 'MAFB', 'CREG1', 'VIM', 'CYBA', 'ACP5', 'FCGR3A', 'LY96', 'ANXA5', 'FPR3', 'RNASE6', 'RNF130', 'VAMP8', 'SRGN', 'PLD3', 'ATP6V1F', 'PPT1', 'IGSF6', 'MFSD1', 'TGFBI', 'CD163', 'DAB2', 'FCGRT', 'LGMN', 'PRDX1', 'KCTD12', 'CTSH', 'CSF1R', 'RAB31', 'PLA2G7', 'S100A9', 'CD63', 'CLEC7A', 'FGL2', 'TIMP2', 'SLCO2B1', 'C3AR1', 'SDCBP', 'ATOX1', 'ACTB', 'OAZ1', 'TNFSF13B', 'BRI3', 'CD4', 'LILRB4', 'MNDA', 'SLC7A7', 'TMEM176B', 'MPEG1', 'AP2S1', 'RNASE1', 'CD81', 'A2M', 'MSR1', 'LAMP1', 'PLTP', 'CTSA', 'SLC40A1', 'CD9', 'AKR1B1', 'GM2A', 'TREM2', 'MMP12', 'STAB1', 'HEXB', 'MAF', 'MMP14', 'C1orf54', 'SCARB2', 'MGST3', 'GPR34', 'FABP5', 'TTYH3', 'FUCA1', 'SEPP1', 'HEXA', 'TMEM176A', 'AKR1A1', 'LGALS3', 'NRP1', 'VSIG4', 'IDH1', 'PMP22', 'CD59', 'TSPAN4', 'CD84', 'HNMT', 'ADAP2', 'NPL', 'BCAP31', 'SCPEP1', 'C2', 'ACP2', 'CSTB', 'LAMP2', 'ATP6AP2', 'ARHGAP18', 'TUBA1B', 'PTMS']"
cM03 (DC1),"['HLA-DPB1', 'HLA-DPA1', 'CST3', 'HLA-DRA', 'CD74', 'HLA-DQA1', 'HLA-DQB1', 'HLA-DRB1', 'SNX3', 'ACTB', 'LYZ', 'CPVL', 'TMSB4X', 'C1orf54', 'CLEC9A', 'LGALS2', 'IRF8', 'LSP1', 'COTL1', 'RGS10', 'HLA-DMA', 'IDO1', 'RGCC', 'PPT1', 'AIF1', 'TMSB10', 'DNASE1L3', 'SPI1', 'VIM', 'CPNE3', 'GSTP1', 'BASP1', 'LGALS1', 'NAP1L1', 'RAB32', 'C1orf162', 'ARPC2', 'HLA-DMB', 'NAAA', 'UCP2', 'ID2', 'BATF3', 'SUB1', 'FGL2', 'ACTG1', 'WDFY4', 'ARPC1B', 'MPEG1', 'CFL1', 'SAMHD1', 'FAM49B', 'PTPRE', 'BID', 'PLEK', 'TYMP', 'SERPINB9', 'PFN1', 'RPS23', 'RPS24', 'CLEC7A', 'PSMB9', 'ATG3', 'ITGB2', 'HCK', 'PLEKHO1', 'LCP1', 'SHTN1', 'SAT1', 'SMCO4', 'MYL6', 'LY86', 'RP5-1171I10.5', 'CADM1', 'PPA1', 'AP1S2', 'HLA-DOB', 'GMFG', 'H2AFY', 'ARPC3', 'HLA-DRB5', 'LST1', 'UBA52', 'CIITA', 'LIMD2', 'RPS11', 'GRN', 'LSM6', 'EEF1B2', 'MARCH1', 'ATP6V0E1', 'ENSA', 'SERPINB1', 'RPS3A', 'MNDA', 'CKLF', 'CCDC88A', 'FNBP1', 'TAP1', 'CORO1A', 'TPM3', 'RPL8', 'RPS18', 'RPS8', 'RPL18A', 'RPS21', 'RPL23A', 'RPL4', 'RPSA', 'RPS2', 'RPL5', 'RPS6', 'RPL10A', 'RPLP0', 'RPS5', 'RPLP1', 'RPL11', 'RPS14', 'RPL14', 'RPL27A', 'RPS16', 'RPL19', 'RPL3', 'RPL10', 'RPL30', 'RPS4X', 'RPS7', 'RPS3', 'RPL22', 'RPS12', 'RPL6', 'RPS15', 'RPL37A', 'RPL21', 'RPL28', 'RPL7A', 'RPS29', 'RPL37', 'MZT2A', 'RPS27', 'RPL32', 'RPS25', 'TMEM14A', 'RPL13A', 'RPL35', 'RPLP2', 'RPL31', 'RPS13', 'RPL18', 'CCND1', 'RPL15', 'RPS15A', 'RPL41', 'XCR1', 'RPL29', 'FUCA1', 'GYPC', 'CLNK', 'CAMK2D', 'CYB5R3', 'VAC14', 'KIAA0226L', 'APOL3', 'CD48', 'ENPP1', 'C20orf27', 'CD59', 'ICAM3', 'ASAP1', 'ASB2', 'BCL6', 'SERPINB6', 'COX7C', 'AC068491.1', 'CYTOR', 'FNIP2', 'KCNK6', 'EVL', 'C1orf21', 'C1QBP', 'ABRACL', 'ANPEP', 'DENND1B', 'PLCD1', 'SLAMF8', 'CCDC126', 'SLAMF7', 'CSRP1', 'PNMA1', 'DBN1', 'SEPHS2', 'CLEC2B', 'LMNA', 'FKBP1B', 'SLC24A4', 'EVI2B']"
cM04 (DC2),"['HLA-DPB1', 'HLA-DPA1', 'HLA-DRA', 'HLA-DQA1', 'HLA-DQB1', 'CD74', 'HLA-DRB1', 'CST3', 'LST1', 'HLA-DMA', 'AIF1', 'COTL1', 'AMICA1', 'TYROBP', 'LYZ', 'CLEC10A', 'ACTB', 'HLA-DMB', 'CPVL', 'SPI1', 'FCER1G', 'CEBPD', 'TYMP', 'C1orf162', 'LSP1', 'FGL2', 'GPR183', 'VIM', 'ITGB2', 'SRGN', 'SAMHD1', 'MS4A6A', 'RNASE6', 'CFP', 'CTSH', 'CD1C', 'MNDA', 'FCER1A', 'ARPC1B', 'ARPC3', 'GRN', 'RGS10', 'IFI30', 'TMSB10', 'LGALS2', 'LGALS1', 'IGSF6', 'LCP1', 'TMSB4X', 'ARPC5', 'CYBA', 'FAM49B', 'ARPC2', 'LITAF', 'NPC2', 'CSF2RA', 'ANXA1', 'HCLS1', 'CORO1A', 'GDI2', 'GLIPR1', 'PYCARD', 'OAZ1', 'RGS2', 'CLEC4A', 'RHOG', 'GMFG', 'PFN1', 'SAT1', 'SGK1', 'PPT1', 'LY86', 'PPA1', 'AP1S2', 'ARHGDIB', 'STK17B', 'HCK', 'IFNGR1', 'FGR', 'PLEKHO1', 'CXCR4', 'H2AFY', 'TIMP1', 'CKLF', 'SERPINB9', 'CD86', 'FTH1', 'S100A11', 'ANXA5', 'RPS24', 'HLA-DRB5', 'CIITA', 'PFDN5', 'CFL1', 'VSIR', 'UCP2', 'PRELID1', 'BASP1', 'REL', 'CAP1', 'RPS23', 'RPS18', 'RPL5', 'RPS7', 'RPL4', 'RPL3', 'RPL10A', 'RPL11', 'RPS11', 'RPS3', 'RPL6', 'RPL15', 'RPL19', 'RPL18A', 'RPL7A', 'RPS14', 'RPS3A', 'RPS4X', 'EEF1A1', 'RPS6', 'RPL8', 'RPS2', 'RPS5', 'RPL23A', 'RPS8', 'EEF1B2', 'RPL18', 'RPL13', 'RPS9', 'RPL29', 'RPL26', 'RPL37', 'RPL32', 'RPS13', 'RPL10', 'RPL30', 'RPSA', 'RPS19', 'RPS16', 'RPL9', 'RACK1', 'RPL14', 'RPS15A', 'RPL37A', 'RPS12', 'SPINT2', 'RPL35A', 'RPL34', 'RPL24', 'RPL22', 'EIF3L', 'RPL27', 'FAU', 'RPS15', 'CD52', 'RPLP0', 'NACA', 'RPS21', 'RPS27A', 'RPS27', 'RPS10', 'BTF3', 'PKIB', 'RPL41', 'RPL28', 'SLC25A6', 'RPL27A', 'PLAC8', 'RPS25', 'LIMD2', 'RPL13A', 'RPLP2', 'RPL35', 'RPS29', 'IFITM2', 'IFITM3', 'S100A4', 'ETS2', 'CEBPB', 'SH3BGRL3', 'IL1R2', 'FPR1', 'FCGR2B', 'IL1B', 'CASP1', 'FOS', 'PTPRC', 'FCGR2A', 'NAMPT', 'TXNIP', 'RBPJ', 'CD48', 'CIB1', 'LIMS1', 'NCF2', 'MS4A7', 'PLSCR1', 'FCGRT', 'LAPTM5', 'CLIC1', 'MAT2A', 'C10orf128', 'CD53', 'HCST', 'JUNB', 'SARAF', 'PLAUR', 'ABI3', 'LCP2', 'VASP', 'KCNK6', 'MSN', 'SLC2A3', 'SERPINA1', 'FPR3', 'SERPINB1', 'TSPO', 'CLEC7A', 'DDX21', 'PTPN6', 'EMP3']"
cM05 (DC2 C1Q+),"['HLA-DPB1', 'HLA-DPA1', 'HLA-DRA', 'CD74', 'HLA-DQA1', 'HLA-DQB1', 'HLA-DRB1', 'LST1', 'AIF1', 'C1QA', 'C1QB', 'CST3', 'MS4A6A', 'C1QC', 'TYROBP', 'HLA-DMA', 'CLEC10A', 'AMICA1', 'SPI1', 'NPC2', 'HLA-DMB', 'COTL1', 'FCER1G', 'FTL', 'IGSF6', 'ACTB', 'ITGB2', 'CTSH', 'FGL2', 'LYZ', 'RGS10', 'TYMP', 'CPVL', 'LGALS1', 'GRN', 'RNASE6', 'SAMHD1', 'MNDA', 'ARPC1B', 'ARPC3', 'TUBA1B', 'VAMP8', 'YWHAH', 'TMSB4X', 'GPR183', 'PYCARD', 'ARPC2', 'FAM26F', 'IFNGR1', 'CSF1R', 'FAM49B', 'VIM', 'CTSS', 'PPT1', 'CYBA', 'AXL', 'CD68', 'C1orf162', 'CYBB', 'ARHGDIB', 'RHOG', 'GLIPR1', 'CLEC7A', 'CD1C', 'TMSB10', 'CD1E', 'S100A11', 'PFN1', 'HCK', 'LSP1', 'UCP2', 'ITM2B', 'LCP1', 'ARPC5', 'CLEC4A', 'OAZ1', 'CD4', 'CSTA', 'PLEKHO1', 'RNF130', 'ALOX5AP', 'LITAF', 'SRGN', 'ANXA5', 'GDI2', 'AP2S1', 'CEBPD', 'ANXA1', 'CKLF', 'RNASET2', 'GSN', 'ABI3', 'RAB31', 'FCER1A', 'CTSB', 'H2AFY', 'CTSZ', 'LGALS2', 'CORO1A', 'SAT1', 'RPL4', 'RPSA', 'PKIB', 'RPS19', 'PPA1', 'RPL15', 'RPL3', 'RPS2', 'RPL5', 'RPS3', 'RPS18', 'RPL10A', 'RPL7A', 'RPS23', 'RPL23A', 'RPS5', 'RPL6', 'RPS4X', 'NDRG2', 'RPS7', 'EEF1B2', 'RPS6', 'PLAC8', 'PLD4', 'RPS14', 'RACK1', 'RPL19', 'RPL11', 'RPS3A', 'RPL14', 'PAK1', 'RPS11', 'SLC25A5', 'RPS8', 'CD1A', 'RPL29', 'PTMA', 'RPL37A', 'RPL26', 'EIF3L', 'RPL18', 'RPL35', 'RPLP0', 'SPINT2', 'RPS29', 'S100B', 'RPL8', 'RPL18A', 'HNRNPA1', 'RPL37', 'SLC25A6', 'RPS21', 'RPL27A', 'IDH2', 'RPL30', 'RPL41', 'RPS15', 'PRELID1', 'RPL32', 'LTB', 'RPL22', 'NAP1L1', 'RPS15A', 'RPS10', 'CLNS1A', 'RPL35A', 'RPL10', 'EEF1A1', 'CD63', 'PSAP', 'MAFB', 'FYB1', 'CEBPB', 'CD14', 'TGFBI', 'ACP5', 'FCGRT', 'AKR1B1', 'GLRX', 'CAMK1', 'ASAH1', 'CTSD', 'LAPTM5', 'GIMAP4', 'ATP6V1B2', 'LIMS1', 'SERPINA1', 'C3AR1', 'CD81', 'SCPEP1', 'ATP6AP2', 'CASP1', 'DOK2', 'RAP1A', 'FCGR2A', 'YBX1', 'PRDX1', 'SLC7A7', 'SLC40A1', 'KCTD12', 'LAMTOR2', 'TPI1', 'PTPN6', 'SLAMF8', 'TXNIP', 'HEXB']"
cM06 (DC IL22RA2),"['COTL1', 'HLA-DPB1', 'LST1', 'HLA-DRA', 'HLA-DPA1', 'CD74', 'ACTB', 'AIF1', 'TMSB4X', 'HLA-DQB1', 'HLA-DQA1', 'HLA-DRB1', 'PFDN5', 'LTB', 'TMSB10', 'LSP1', 'SPI1', 'RPS23', 'OAZ1', 'RPS3A', 'AMICA1', 'S100B', 'VAMP8', 'RPL15', 'RPS24', 'ARPC3', 'PFN1', 'ARPC5', 'PYCARD', 'ARPC2', 'TYROBP', 'GSN', 'RPL26', 'GDI2', 'ACTG1', 'UBA52', 'ARPC1B', 'LCP1', 'SMCO4', 'CTSH', 'NAP1L1', 'EEF1A1', 'RGS10', 'RPS19', 'H2AFY', 'RPS13', 'MYL12A', 'RPL4', 'H3F3A', 'PKIB', 'RPL19', 'PPA1', 'CFL1', 'RPS14', 'UCP2', 'RPL14', 'PLD4', 'RPS9', 'ATP5L', 'PAK1', 'ARHGDIB', 'SAMHD1', 'RPL28', 'RPL9', 'RPS11', 'ITGB2', 'HLA-DMA', 'CORO1A', 'RPL6', 'NPM1', 'CFP', 'HCK', 'PLEKHO1', 'RPL34', 'LY86', 'SUB1', 'ABI3', 'SERF2', 'HLA-DMB', 'PABPC1', 'RPL11', 'FAU', 'MS4A6A', 'GCA', 'GSTP1', 'RPS4X', 'RPS15A', 'RPL27A', 'GABARAPL2', 'ATP5E', 'RPL5', 'GPR183', 'SNX3', 'BASP1', 'FAM49B', 'RPL27', 'RPL37', 'RPL10', 'HMGN1', 'RPS27A', 'RPL3', 'RPS6', 'RPL23A', 'RPL10A', 'RPS18', 'RPS2', 'RPS12', 'RPSA', 'RPL41', 'RPS5', 'RPS15', 'RPL32', 'RPL35A', 'RPS7', 'RPL7A', 'RPS29', 'RPS8', 'RPS3', 'RPS27', 'RPL8', 'RPL30', 'RPL13', 'RPL18', 'RACK1', 'RPL29', 'RPS21', 'RPL13A', 'RPL37A', 'RPS25', 'RPLP0', 'RPL18A', 'RPL31', 'RPL36', 'RPL35', 'RPLP2', 'RPL24', 'RPL7', 'RPLP1', 'RPS10', 'RPL12', 'RPS20', 'EEF1B2', 'NACA', 'RPL36A', 'RPL22', 'HINT1', 'RPS16', 'RPL39', 'RPL23', 'COMMD6', 'RPS28', 'BTF3', 'HNRNPA1', 'CA2', 'CD52', 'SUSD3', 'FXYD5', 'IL22RA2', 'VASP', 'PSTPIP2', 'MYL9', 'CDH17', 'GPR82', 'C11orf31', 'GEM', 'ENTPD1', 'FAM107B', 'SFTPD', 'SLC25A5', 'GAPDH', 'CKLF', 'TNNI2', 'FAM89B', 'RPL38', 'GNGT2']"
cM07 (pDC),"['GZMB', 'SEC61B', 'IRF7', 'GPR183', 'PLAC8', 'CD74', 'TSPAN13', 'TCF4', 'LILRA4', 'CLIC3', 'ALOX5AP', 'IRF8', 'PLD4', 'SERPINF1', 'PPP1R14B', 'UGCG', 'CXCR4', 'TYROBP', 'HLA-DPA1', 'HLA-DRA', 'BCL11A', 'HLA-DPB1', 'NPC2', 'JCHAIN', 'CXCR3', 'MPEG1', 'CCDC50', 'RNASE6', 'C12orf75', 'CLN8', 'CYBA', 'SELL', 'SPCS1', 'LILRB4', 'HERPUD1', 'IRF4', 'SMPD3', 'SRP14', 'IL3RA', 'HLA-DRB1', 'VAMP8', 'SCT', 'CTSB', 'SLC15A4', 'RNASET2', 'ITM2C', 'MAP1A', 'PARK7', 'SLC20A1', 'HLA-DQB1', 'MZB1', 'HLA-DQA1', 'UCP2', 'CD4', 'PTCRA', 'FCER1G', 'SPIB', 'RGS1', 'ZFP36', 'CTSC', 'DCK', 'RPS3A', 'MS4A6A', 'ERP29', 'LDLRAD4', 'SUB1', 'CYB561A3', 'RPS23', 'HLA-DMA', 'PLP2', 'LTB', 'GRN', 'THEMIS2', 'OPN3', 'PRKCB', 'DUSP5', 'HLA-DMB', 'MYL12A', 'RGS2', 'PRMT9', 'STMN1', 'CCDC88A', 'AMICA1', 'CNPY3', 'LAMP5', 'SRGN', 'CSF2RB', 'C9orf142', 'BST2', 'SOX4', 'IRF2BP2', 'ERN1', 'DERL3', 'MALAT1', 'BTG2', 'IGKC', 'H3F3B', 'LRRC26', 'SEL1L3', 'CLEC4C', 'RPS12', 'RPS8', 'RPS27', 'RPS28', 'RPL3', 'RPLP0', 'RPL23A', 'RPL6', 'RPS5', 'RPS4X', 'RPL10A', 'EEF1A1', 'RPL37A', 'RPL19', 'RPSA', 'RPL11', 'RPL37', 'RPS27A', 'RPS11', 'RPL7A', 'RPS15A', 'RPS6', 'SSR4', 'RPS18', 'HINT1', 'RPL18', 'RPS3', 'RPLP1', 'RPL13', 'RPS7', 'APP', 'RPL5', 'RPS14', 'RPL9', 'RPS2', 'ZFP36L2', 'RPL15', 'RPS13', 'RPS29', 'RPL13A', 'RPL10', 'RPL34', 'RPS19', 'NACA', 'RPL35A', 'RPL30', 'HSP90B1', 'SLC7A5', 'VIMP', 'SEC61G', 'DDIT4', 'RP11-511P7.2', 'GAS6', 'NUCB2', 'TPM2', 'CD37', 'CD99', 'IFI44L', 'SIDT1', 'TCL1A', 'PFKFB2', 'CD164', 'MAPKAPK2', 'FKBP2', 'CD2AP', 'OFD1', 'NR3C1', 'PPIB']"
